DATE,EU_Unemployment_Rate
1/1/1991,7.840147199
1/1/1992,8.507249363
1/1/1993,10.16666667
1/1/1994,10.85833333
1/1/1995,10.65
1/1/1996,10.78333333
1/1/1997,10.75833333
1/1/1998,10.55
1/1/1999,9.816666667
1/1/2000,8.883333333
1/1/2001,8.308333333
1/1/2002,8.6
1/1/2003,9.066666667
1/1/2004,9.266666667
1/1/2005,9.116666667
1/1/2006,8.408333333
1/1/2007,7.508333333
1/1/2008,7.583333333
1/1/2009,9.641666667
1/1/2010,10.225
1/1/2011,10.21666667
1/1/2012,11.375
1/1/2013,12.04166667
1/1/2014,11.61666667
1/1/2015,10.85833333
1/1/2016,10.025
1/1/2017,9.066666667
1/1/2018,8.2
